# VLDDashClient mimuroto
1.021191 0.128000
1.154229 4.608000
6.197927 4.352000
10.963179 4.352000
15.963179 4.864000
20.963179 4.864000
25.963179 4.864000
30.963179 5.120000
35.963179 5.120000
40.963179 5.120000
45.963179 5.120000
50.963179 5.120000
55.963179 5.120000
65.963179 5.120000
70.963179 5.120000
75.963179 5.120000
80.963179 5.120000
90.963179 5.120000
95.963179 5.120000
101.744484 5.120000
106.744484 5.120000
112.255314 5.120000
117.255314 5.120000
122.629814 5.120000
127.629814 5.120000
133.185260 5.120000
138.185260 5.120000
143.833969 5.120000
148.833969 5.120000
154.730664 5.120000
159.730664 5.120000
165.352166 5.120000
170.352166 5.120000
175.866959 5.120000
180.866959 5.120000
186.423409 5.120000
191.423409 5.120000
196.882339 5.120000
201.882339 5.120000
207.564791 5.120000
212.564791 5.120000
218.596153 5.120000
223.596153 5.120000
229.755595 5.120000
234.755595 5.120000
240.461014 5.120000
245.461014 5.120000
250.894155 5.120000
255.894155 5.120000
261.409185 5.120000
266.409185 5.120000
272.028321 5.120000
277.028321 5.120000
282.769583 5.120000
287.769583 5.120000
293.956053 4.864000
298.956053 5.120000
304.885604 4.864000
309.885604 5.120000
315.468178 4.864000
320.468178 5.120000
325.902162 4.864000
330.902162 4.864000
336.152400 4.864000
341.152400 4.864000
346.662164 4.864000
351.662164 4.864000
356.840193 4.864000
361.901000 4.864000
366.965853 4.864000
371.965853 4.864000
376.965853 4.864000
382.526454 4.864000
387.526454 4.864000
392.767480 4.864000
398.005471 4.864000
403.005471 4.864000
408.005471 4.864000
413.564235 4.864000
418.564235 4.864000
424.332253 4.864000
429.332253 4.864000
434.636684 4.864000
439.636684 4.864000
445.144650 4.864000
450.144650 4.864000
455.474842 4.864000
460.474842 4.864000
465.702552 4.864000
470.702552 4.864000
475.702986 4.864000
480.702986 4.864000
486.064648 4.864000
491.064648 4.864000
496.315975 4.864000
501.408532 4.864000
506.462315 4.864000
511.767447 4.864000
517.006135 4.864000
522.006135 4.864000
527.006135 4.864000
532.006135 4.864000
537.006135 4.864000
542.006135 4.864000
547.006135 4.864000
552.006135 4.864000
557.044322 4.864000
562.044322 4.864000
567.185378 4.864000
572.185378 4.864000
577.185378 4.864000
582.185378 4.864000
587.185378 4.864000
592.185378 4.864000
597.185378 4.864000
602.185378 4.864000
607.185378 4.864000
612.185378 4.864000
617.185378 4.864000
622.185378 4.864000
627.185378 4.864000
632.185378 4.864000
637.185378 4.864000
642.185378 4.864000
647.185378 4.864000
652.185378 4.864000
657.185378 4.864000
662.185378 4.864000
667.185378 4.864000
672.185378 4.864000
677.185378 4.864000
682.185378 4.864000
687.185378 4.864000
692.185378 4.864000
697.185378 4.864000
702.185378 4.864000
707.185378 4.864000
712.185378 4.864000
717.185378 4.864000
722.185378 4.864000
727.185378 4.864000
732.185378 4.864000
737.185378 4.864000
742.185378 4.864000
747.185378 4.864000
752.185378 4.864000
757.185378 4.864000
762.185378 4.864000
767.185378 4.864000
772.185378 4.864000
777.185378 4.864000
782.185378 4.864000
787.185378 4.864000
792.206080 4.864000
797.206080 4.864000
802.344018 4.864000
807.344018 4.864000
812.455577 4.864000
817.455577 4.864000
822.590698 4.864000
827.590698 4.864000
832.673563 4.864000
837.673563 4.864000
842.767016 4.864000
847.767016 4.864000
852.977536 4.864000
857.977536 4.864000
863.274730 4.864000
868.274730 4.864000
873.523122 4.864000
878.523122 4.864000
883.838461 4.864000
888.838461 4.864000
893.838461 4.864000
898.838461 4.864000
903.838461 4.864000
908.838461 4.864000
913.838461 4.864000
918.838461 4.864000
923.838461 4.864000
