# AndroidClient mimuroto
1.456848 0.128000
2.034055 0.768000
7.034055 1.280000
12.034055 1.280000
17.034055 1.280000
22.034055 1.280000
27.034055 1.280000
32.034055 1.280000
37.034055 1.280000
42.034055 1.280000
47.034055 1.536000
52.034055 1.536000
57.034055 1.536000
62.034055 1.536000
67.034055 1.536000
72.034055 1.536000
77.034055 1.536000
82.034055 1.536000
87.034055 1.536000
92.034055 1.536000
97.034055 1.536000
102.034055 1.536000
107.034055 1.536000
112.034055 1.536000
117.034055 1.536000
122.034055 1.536000
127.034055 1.536000
132.034055 1.536000
137.034055 1.536000
142.034055 1.536000
147.034055 1.536000
152.034055 1.536000
157.034055 1.536000
162.034055 1.536000
167.034055 1.536000
172.034055 1.536000
177.034055 1.536000
182.034055 1.536000
187.034055 1.536000
192.034055 1.536000
197.034055 1.536000
202.034055 1.536000
207.034055 1.536000
212.034055 1.536000
217.034055 1.536000
222.034055 1.536000
227.034055 1.536000
232.034055 1.536000
237.034055 1.536000
242.034055 1.536000
247.034055 1.536000
252.034055 1.536000
257.034055 1.536000
262.034055 1.536000
267.034055 1.536000
272.034055 1.536000
277.034055 1.536000
282.034055 1.536000
287.034055 1.536000
292.034055 1.536000
297.034055 1.536000
302.034055 1.536000
307.034055 1.536000
312.034055 1.536000
317.034055 1.536000
322.034055 1.536000
327.034055 1.536000
332.034055 1.536000
337.034055 1.536000
342.034055 1.536000
347.034055 1.536000
352.034055 1.536000
357.034055 1.536000
362.034055 1.536000
367.034055 1.536000
372.034055 1.536000
377.034055 1.536000
382.034055 1.536000
387.034055 1.536000
392.034055 1.536000
397.034055 1.536000
402.034055 1.536000
407.034055 1.536000
412.034055 1.536000
417.034055 1.536000
422.034055 1.536000
427.034055 1.536000
432.034055 1.536000
437.034055 1.536000
442.034055 1.536000
447.034055 1.536000
452.034055 1.536000
457.034055 1.536000
462.034055 1.536000
467.034055 1.536000
472.034055 1.536000
477.034055 1.536000
482.034055 1.536000
487.034055 1.536000
492.034055 1.536000
497.034055 1.536000
502.034055 1.536000
507.034055 1.536000
512.034055 1.536000
517.034055 1.536000
522.034055 1.536000
527.034055 1.536000
532.034055 1.536000
537.034055 1.536000
542.034055 1.536000
547.034055 1.536000
552.034055 1.536000
557.034055 1.536000
562.034055 1.536000
567.034055 1.536000
572.034055 1.536000
577.034055 1.536000
582.034055 1.536000
587.034055 1.536000
592.034055 1.536000
597.034055 1.536000
602.034055 1.536000
607.034055 1.536000
612.034055 1.536000
617.034055 1.536000
622.034055 1.536000
627.034055 1.536000
632.034055 1.792000
637.034055 1.792000
642.034055 1.792000
647.034055 1.792000
652.034055 1.792000
657.034055 1.792000
662.034055 1.792000
667.034055 1.792000
672.034055 1.792000
677.034055 1.792000
682.034055 1.792000
687.034055 1.792000
692.034055 1.792000
697.034055 1.792000
702.034055 1.792000
707.034055 1.792000
712.034055 1.792000
717.034055 1.792000
722.034055 1.792000
727.034055 1.792000
732.034055 1.792000
737.034055 1.792000
742.034055 1.792000
747.034055 1.792000
752.034055 1.792000
757.034055 1.792000
762.034055 2.048000
767.034055 2.048000
772.034055 2.048000
777.034055 2.048000
782.034055 2.048000
787.034055 2.048000
792.034055 2.048000
797.034055 2.048000
802.034055 2.048000
807.034055 2.048000
812.034055 2.048000
817.034055 2.048000
822.034055 2.048000
827.034055 2.048000
832.034055 2.048000
837.034055 2.048000
842.034055 2.048000
847.034055 2.048000
852.034055 2.048000
857.034055 2.048000
862.034055 2.048000
867.034055 2.048000
872.034055 2.048000
877.034055 2.048000
882.034055 2.048000
887.034055 2.048000
892.034055 2.048000
