# AIMDClient mimuroto
1.433406 0.128000
1.993593 0.256000
2.782282 0.384000
7.782282 0.512000
12.782282 0.512000
17.782282 0.512000
22.782282 0.512000
27.782282 0.512000
32.782282 0.512000
37.782282 0.512000
42.782282 0.512000
47.782282 0.512000
52.782282 0.512000
57.782282 0.512000
62.782282 0.512000
67.782282 0.640000
72.782282 0.640000
77.782282 0.640000
82.782282 0.640000
87.782282 0.640000
92.782282 0.640000
97.782282 0.640000
102.782282 0.640000
107.782282 0.640000
112.782282 0.640000
117.782282 0.640000
122.782282 0.640000
127.782282 0.640000
132.782282 0.640000
137.782282 0.640000
142.782282 0.640000
147.782282 0.640000
152.782282 0.640000
157.782282 0.640000
162.782282 0.640000
167.782282 0.640000
172.782282 0.640000
177.782282 0.640000
182.782282 0.640000
187.782282 0.640000
192.782282 0.640000
197.782282 0.640000
202.782282 0.640000
207.782282 0.640000
212.782282 0.640000
217.782282 0.640000
222.782282 0.640000
227.782282 0.640000
232.782282 0.640000
237.782282 0.640000
242.782282 0.640000
247.782282 0.640000
252.782282 0.640000
257.782282 0.640000
262.782282 0.640000
267.782282 0.640000
272.782282 0.640000
277.782282 0.640000
282.782282 0.640000
287.782282 0.640000
292.782282 0.640000
297.782282 0.640000
302.782282 0.640000
307.782282 0.640000
312.782282 0.640000
317.782282 0.640000
322.782282 0.640000
327.782282 0.640000
332.782282 0.640000
337.782282 0.640000
342.782282 0.640000
347.782282 0.640000
352.782282 0.640000
357.782282 0.640000
362.782282 0.640000
367.782282 0.640000
372.782282 0.640000
377.782282 0.640000
382.782282 0.640000
387.782282 0.640000
392.782282 0.640000
397.782282 0.640000
402.782282 0.640000
407.782282 0.640000
412.782282 0.640000
417.782282 0.640000
422.782282 0.640000
427.782282 0.640000
432.782282 0.640000
437.782282 0.640000
442.782282 0.640000
447.782282 0.640000
452.782282 0.640000
457.782282 0.640000
462.782282 0.640000
467.782282 0.640000
472.782282 0.640000
477.782282 0.640000
482.782282 0.640000
487.782282 0.640000
492.782282 0.640000
497.782282 0.640000
502.782282 0.640000
507.782282 0.640000
512.782282 0.640000
517.782282 0.640000
522.782282 0.640000
527.782282 0.640000
532.782282 0.640000
537.782282 0.640000
542.782282 0.640000
547.782282 0.640000
552.782282 0.640000
557.782282 0.640000
562.782282 0.640000
567.782282 0.640000
572.782282 0.640000
577.782282 0.640000
582.782282 0.640000
587.782282 0.640000
592.782282 0.640000
597.782282 0.640000
602.782282 0.640000
607.782282 0.640000
612.782282 0.640000
617.782282 0.640000
622.782282 0.640000
627.782282 0.640000
632.782282 0.640000
637.782282 0.640000
642.782282 0.640000
647.782282 0.640000
652.782282 0.640000
657.782282 0.640000
662.782282 0.640000
667.782282 0.640000
672.782282 0.640000
677.782282 0.640000
682.782282 0.640000
687.782282 0.640000
692.782282 0.640000
697.782282 0.640000
702.782282 0.640000
707.782282 0.640000
712.782282 0.640000
717.782282 0.640000
722.782282 0.640000
727.782282 0.640000
732.782282 0.640000
737.782282 0.640000
742.782282 0.640000
747.782282 0.640000
752.782282 0.640000
757.782282 0.640000
762.782282 0.640000
767.782282 0.640000
772.782282 0.640000
777.782282 0.640000
782.782282 0.640000
787.782282 0.640000
792.782282 0.640000
797.782282 0.640000
802.782282 0.640000
807.782282 0.640000
812.782282 0.640000
817.782282 0.640000
822.782282 0.640000
827.782282 0.640000
832.782282 0.640000
837.782282 0.640000
842.782282 0.640000
847.782282 0.640000
852.782282 0.640000
857.782282 0.640000
862.782282 0.640000
867.782282 0.640000
872.782282 0.640000
877.782282 0.640000
882.782282 0.640000
887.782282 0.640000
